Fecha,Resultado,Federal,U de G,Privado,Serológicas
23/05/2020,Sospechosos,726,36,Na,Na
24/05/2020,Confirmados,"1,180",372,212,Na
24/05/2020,Descartados,"8,863","4,881","1,275",Na
24/05/2020,Sospechosos,511,28,Na,Na
25/05/2020,Confirmados,"1,238",372,224,Na
25/05/2020,Descartados,"9,037","4,881","1,305",Na
25/05/2020,Sospechosos,462,28,Na,Na
26/05/2020,Confirmados,"1,295",393,274,Na
26/05/2020,Descartados,"9,162","5,053","1,340",Na
26/05/2020,Sospechosos,695,34,Na,Na
27/05/2020,Confirmados,"1,355",424,285,Na
27/05/2020,Descartados,"9,285","5,163","1,367",Na
27/05/2020,Sospechosos,862,68,Na,Na
28/05/2020,Confirmados,"1,432",440,289,Na
28/05/2020,Descartados,"9,497","5,292","1,537",Na
28/05/2020,Sospechosos,"1,022",135,Na,Na
29/05/2020,Confirmados,"1,524",467,329,Na
29/05/2020,Descartados,"9,587","5,470","1,600",Na
29/05/2020,Sospechosos,"1,232",180,Na,Na
30/05/2020,Confirmados,"1,660",506,376,Na
30/05/2020,Descartados,"9,942","5,743","1,656",Na
30/05/2020,Sospechosos,"1,112",88,Na,Na
31/05/2020,Confirmados,"1,760",512,413,Na
31/05/2020,Descartados,"10,135","5,769","1,784",Na
31/05/2020,Sospechosos,987,115,Na,Na
01/06/2020,Confirmados,"1,802",513,451,Na
01/06/2020,Descartados,"10,296","5,783","1,854",Na
01/06/2020,Sospechosos,1184,115,Na,Na
02/06/2020,Confirmados,"2,025",533,530,Na
02/06/2020,Descartados,"10,553","5,956","2,130",Na
02/06/2020,Sospechosos,1202,90,Na,Na
03/06/2020,Confirmados,"2,136",557,593,Na
03/06/2020,Descartados,"10,677","6,142","2,250",Na
03/06/2020,Sospechosos,"1,577",78,Na,Na
04/06/2020,Confirmados,"2,289",586,664,Na
04/06/2020,Descartados,"10,852","6,210","2,339",Na
04/06/2020,Sospechosos,"1,711",132,Na,Na
05/06/2020,Confirmados,"2,477",631,742,14
05/06/2020,Descartados,"11,015",6308,2434,701
05/06/2020,Sospechosos,"1,777",145,Na,Na
06/06/2020,Confirmados,"2,653",682,781,22
06/06/2020,Descartados,"11,416",6505,2506,1033
06/06/2020,Sospechosos,"1,537",121,Na,Na
07/06/2020,Confirmados,"2,820",739,809,29
07/06/2020,Descartados,"11,621",6669,2533,1109
07/06/2020,Sospechosos,"1,341",104,Na,Na
08/06/2020,Confirmados,"2,988",739,891,45
08/06/2020,Descartados,"11,849",6669,2684,1306
08/06/2020,Sospechosos,"1,317",104,Na,Na
09/06/2020,Confirmados,"3,218",760,972,65
09/06/2020,Descartados,"12,032",6769,2780,1616
09/06/2020,Sospechosos,"1,490",148,Na,Na
10/06/2020,Confirmados,"3,309",811,1040,84
10/06/2020,Descartados,"12,280",6928,2843,2087
10/06/2020,Sospechosos,"1,705",161,Na,Na
11/06/2020,Confirmados,"3,511",842,1172,107
11/06/2020,Descartados,"12,590",7116,3019,2739
11/06/2020,Sospechosos,"1,731",188,Na,Na
12/06/2020,Confirmados,"3,704",873,1259,164
12/06/2020,Descartados,"12,810",7195,3119,3397
12/06/2020,Sospechosos,"1,811",320,Na,Na
13/06/2020,Confirmados,"3,880",999,1260,218
13/06/2020,Descartados,"13,047",7607,3246,4284
13/06/2020,Sospechosos,"1,722",92,Na,Na
14/06/2020,Confirmados,"4,044",1041,1267,327
14/06/2020,Descartados,"13,250",7768,3246,4493
14/06/2020,Sospechosos,"1,481",81,Na,Na
15/06/2020,Confirmados,"4,139",1046,1366,263
15/06/2020,Descartados,"13,391",7848,3389,4977
15/06/2020,Sospechosos,"1,566",58,Na,Na
16/06/2020,Confirmados,"4,289",1109,1452,299
16/06/2020,Descartados,"13,545",8123,3481,5642
16/06/2020,Sospechosos,"1,742",106,Na,Na
17/06/2020,Confirmados,"4,495",1184,1544,372
17/06/2020,Descartados,"13,767",8343,3563,6387
17/06/2020,Sospechosos,"1,812",100,Na,Na
18/06/2020,Confirmados,"4,656",1279,1652,418
18/06/2020,Descartados,"13,964",8611,3664,7027
18/06/2020,Sospechosos,"1,903",144,Na,Na
19/06/2020,Confirmados,"4,791",1366,1768,458
19/06/2020,Descartados,"14,167",8769,3807,7416
19/06/2020,Sospechosos,"2,056",154,Na,Na
20/06/2020,Confirmados,"4,922",1449,1836,458
20/06/2020,Descartados,"14,335",9040,3930,7415
20/06/2020,Sospechosos,"2,115",154,Na,Na
21/06/2020,Confirmados,"5,090",1449,1842,523
21/06/2020,Descartados,"14,499",9101,3963,8142
21/06/2020,Sospechosos,"1,980",239,Na,Na
22/06/2020,Confirmados,"5,217",1486,1992,585
22/06/2020,Descartados,"14,683",9156,4174,8498
22/06/2020,Sospechosos,"1,977",148,Na,Na
23/06/2020,Confirmados,"5,528",1616,2047,684
23/06/2020,Descartados,"14,930",9364,4222,9298
23/06/2020,Sospechosos,"1,918",124,Na,Na
24/06/2020,Confirmados,"5,715",1719,2152,801
24/06/2020,Descartados,"15,168",9569,4497,10119
24/06/2020,Sospechosos,"1,951",120,Na,Na
25/06/2020,Confirmados,"5,875",1783,2212,951
25/06/2020,Descartados,"15,341",9724,4722,11150
25/06/2020,Sospechosos,"2,094",141,Na,Na
26/06/2020,Confirmados,"6,054",1883,2240,1074
26/06/2020,Descartados,"15,562",9894,4774,12366
26/06/2020,Sospechosos,"2,130",168,Na,Na
27/06/2020,Confirmados,"6,190",1971,2357,1097
27/06/2020,Descartados,"15,728",10119,4991,12667
27/06/2020,Sospechosos,"2,216",191,Na,Na
28/06/2020,Confirmados,"6,386",2010,2377,1102
28/06/2020,Descartados,"15,975",10236,4991,12702
28/06/2020,Sospechosos,"1,939",198,Na,Na
29/06/2020,Confirmados,"6,497",2022,2490,1184
29/06/2020,Descartados,"16,065",10320,5185,13520
29/06/2020,Sospechosos,"2,142",193,Na,Na
30/06/2020,Confirmados,"6,684",2093,2578,1275
30/06/2020,Descartados,"16,177",10518,5345,14263
30/06/2020,Sospechosos,"23,090",178,Na,Na
01/07/2020,Confirmados,"6,873",2205,2690,1415
01/07/2020,Descartados,"16,457",10752,5498,14899
01/07/2020,Sospechosos,"2,399",106,Na,Na
02/07/2020,Confirmados,"7,030",2318,2763,1502
02/07/2020,Descartados,"16,671",10919,5645,15495
02/07/2020,Sospechosos,"2,547",112,Na,Na
03/07/2020,Confirmados,"7,261","2,430","2,890","1,622"
03/07/2020,Descartados,"16,927","11,114","5,761","16,270"
03/07/2020,Sospechosos,"2,525",113,Na,Na
04/07/2020,Confirmados,"7,507","2,550","3,057","1,633"
04/07/2020,Descartados,"17,141","11,238","6,101","16,333"
04/07/2020,Sospechosos,"2,404",107,Na,Na
05/07/2020,Confirmados,"7,686","2,601","3,411","1,634"
05/07/2020,Descartados,"17,354","11,308","6,763","16,348"
05/07/2020,Sospechosos,"2,190",107,Na,Na
06/07/2020,Confirmados,"7,915","2,611","3,740","1,730"
06/07/2020,Descartados,"17,631","11,358","7,321","16,814"
06/07/2020,Sospechosos,"2,090",99,Na,Na
07/07/2020,Confirmados,"8,081","2,730","3,866","1,782"
07/07/2020,Descartados,"17,854","11,528","7,514","17,187"
07/07/2020,Sospechosos,"2,282",103,Na,Na
08/07/2020,Confirmados,"8,274","2,846","3,977","1,827"
08/07/2020,Descartados,"18,018","11,654","7,598","17,555"
08/07/2020,Sospechosos,"2,592",104,Na,Na
09/07/2020,Confirmados,"8,582","2,922","4,102","1,906"
09/07/2020,Descartados,"18,311","11,846","7,806","17,957"
09/07/2020,Sospechosos,"2,602",158,Na,Na
10/07/2020,Confirmados,"8,797","3,066","4,188","1,967"
10/07/2020,Descartados,"18,642","12,045","7,893","18,371"
10/07/2020,Sospechosos,"2,656",94,Na,Na
11/07/2020,Confirmados,"8,989","3,186","4,261","1,971"
11/07/2020,Descartados,"18,915","12,197","7,991","18,422"
11/07/2020,Sospechosos,"2,560",91,Na,Na
12/07/2020,Confirmados,"9,201","3,191","4,604","1,972"
12/07/2020,Descartados,"19,151","12,197","8,620","18,431"
12/07/2020,Sospechosos,"2,307",197,Na,Na
*Cifras preliminares sujetas a actualización.,,,,,
